tier 1,tier 2,tier 3,tier 4,tier 5,tier 6,relationship,relationshipObject,Definition
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),,,,,,,"Established in 1983, with the purpose of restoring and preserving historic Fort Steilacoom in order to perpetuate the significance of the site for the benefit of the public by operating a museum complex and a strong educational program stressing the role of the Fort in Northwest history."
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Preservation,,,,,,"Protection and care of cultural property including artworks, architecture, archaeology, and museum collections."
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Programming,,,,,,Planned activities whose purpose is to promote services meant to inform the wider community about heritage assets and the need to utilise them.
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Programming,Centennial,,,,,100 year anniversary 
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Programming,Reenactor,,,,,
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Programming,Presenter,,,,,
Fort Steilacoom,Historic Fort Steilacoom Association (1983-present),Restoration,,,,,,The act of restoring something to its original state; may refer to: Conservation and restoration of cultural heritage
Fort Steilacoom,Fort Steilacoom (1849-1868),,,,,,,"Founded by the U.S. Army in 1849 near Lake Steilacoom, among the first military fortifications built by the U.S. north of the Columbia River in what was to become the State of Washington, the fort was constructed due to civilian agitation about the massacre in 1847 at the Whitman (Waiilatpu) mission."
Fort Steilacoom,Fort Steilacoom Army Post Cemetery,,,,,,,
Fort Steilacoom,Western State Hospital (1871-present),,,,,,,"A psychiatric hospital first established in Washington Territory as Fort Steilacoom Asylum in 1871, the territorial government took control due to complaints about patient neglect, brutal abuse and poor living conditions."
Settler-colonialism,,,,,,,,A form of colonialism that seeks to replace the original population of the colonized territory with a new society of settlers.
Settler-colonialism,Oregon Trail,,,,,,,"A 2,170-mile (3,490 km) east–west, large-wheeled wagon route and emigrant trail in the United States that connected the Missouri River to valleys in Oregon. "
Settler-colonialism,Oregon Territory (1848-1859),,,,,,,"Organized incorporated territory of the United States that existed from August 14, 1848, until February 14, 1859, when the southwestern portion of the territory was admitted to the Union as the State of Oregon."
Settler-colonialism,Oregon Territory (1848-1859),Donation Land Claim Act of 1850,,,,,,"A statute enacted by the United States Congress in late 1850, intended to promote homestead settlements in the Oregon Territory."
Settler-colonialism,Oregon Territory (1848-1859),Oregon Boundary Dispute,,,,,,A 19th-century territorial dispute over the political division of the Pacific Northwest of North America between several nations that had competing territorial and commercial aspirations in the region.
Settler-colonialism,Washington Territory (1853-1889),,,,,,,"Organized incorporated territory of the United States that existed from March 2, 1853, until November 11, 1889, when the territory was admitted to the Union as the State of Washington."
Settler-colonialism,Washington State (1889-present),,,,,,,
Settler-colonialism,Settlers,,,,,,,"Persons who have migrated to an area and established a permanent residence there, often to colonize the area."
Economics,,,,,,,,"The social science that studies the production, distribution, and consumption of goods and services."
Economics,Commerce,,,,,,,"The exchange of goods and services, especially on a large scale."
Economics,Depression,,,,,,,"A sustained, long-term downturn in economic activity in one or more economies"
Economics,Industries,,,,,,,A particular form or branch of economic or commercial activity.
Economics,Industries,Fur trade,,,,,,Industry dealing in the acquisition and sale of animal fur.
Economics,Industries,Railroads,,,,,,"Railroad, mode of land transportation in which flange-wheeled vehicles move over two parallel steel rails, or tracks,"
Economics,Industries,Whaling,,,,,,The process of hunting of whales for their usable products
Economics,Tradespeople,,,,,,,A skilled worker that specializes in a particular trade (occupation or field of work).
Economics,Argonauts,,,,,,,"An alternative nickname for the 'Forty-Niners', the desperate poor from Europe who arrived to try to make their fortunes out of gold on the west coast of America in 1849."
Engineering,,,,,,,,"The use of scientific principles to design and build machines, structures, and other items, including bridges, tunnels, roads, vehicles, and buildings."
Places,Forts,,,,,,,"A military construction or building designed for the defense of territories in warfare, and is also used to establish rule in a region during peacetime."
Places,Forts,Fort Nisqually,,,,,,"An important fur trading and farming post of the Hudson's Bay Company in the Puget Sound area, part of the Hudson's Bay Company's Columbia Department."
Places,Forts,Fort Vancouver,,,,,,"A 19th-century fur trading post that was the headquarters of the Hudson's Bay Company's Columbia Department, located in the Pacific Northwest."
Places,Forts,Fort Walla Walla,,,,,,"A United States Army fort located in Walla Walla, Washington."
Places,Forts,Fort Hamilton,,,,,,"A United States Army installation in the southwestern corner of the New York City borough of Brooklyn, the original fort was completed in 1831"
Places,Waiilatpu Mission,,,,,,,"Attempt by two missionary couples, Whitmans and Spaldings, to evangalize indigenous populations of the Pacific Northwest ending with the deaths of the Whitmans and 11 others at the hands of the Cayuse peoples, prompting Congress to declare Oregon a U.S. territory and precipitating the Cayuse war."
Places,Joseph T. Heath Farm,,,,,,,Orginial farming settlement on the future site of Fort Steilacoom
Places,Muckleshoot Prairie,,,,,,,A plain in King County and the site of the Battle of Muckleshoot Prairie in 1856
Places,Gravelly Lake,,,,,,,"A lake located in Lakewood in Pierce County, Washington, United States."
Places,Puyallup Valley,,,,,,,"Originally inhabited by the Puyallup people, the first white settlers in the region were part of the first wagon train to cross the Cascade Range at Naches Pass in 1853."
Places,Boatman-Ainsworth House,,,,,,,"The oldest home in Lakewood; one of the first homes in Lakewood to be built as a framed structure, rather than using logs"
Places,Port Steilacoom,,,,,,,A portion of the future town of Steilacoom claimed by Capt. Lafayette Balch
Places,Steilacoom (town),,,,,,,The first incorporated town in what is now the state of Washington.
Places,Chambers Creek,,,,,,,"Named for Thomas M. Chambers, who settled near Olympia, Washington, in 1846 and later built a sawmill on the creek. Also known as Steilacoom Creek, for the Coast Salish tribe whose territory is on its north side."
Places,Columbia River,,,,,,,The largest river in the Pacific Northwest region of North America.
Places,White River,,,,,,,A tributary of the Puyallup River in Washington State
Places,San Juan Islands,,,,,,,"An archipelago in the Pacific Northwest of the United States between the U.S. state of Washington and Vancouver Island, British Columbia, Canada. The San Juan Islands are part of Washington state, and form the core of San Juan County."
Indigenous history,,,,,,,,"The study of Indigenous communities, peoples, and nations having a historical continuity with pre-invasion and pre-colonial societies that developed on their territories."
Indigenous history,Cultural Practice,,,,,,,"The manifestation of a culture or sub-culture, especially in regard to the traditional and customary practices of a particular ethnic or other cultural groups."
Indigenous history,Cultural Practice,Indigenous medicine,,,,,,Traditional medicinal practices of Indigenous peoples
Indigenous history,Cultural Practice,Indigenous spiritual practices,,,,,,The spiritual beliefs and practices that Indigenous peoples identify as being “traditional” or “customary” among Indigenous peoples.
Indigenous history,Nations & peoples,,,,,,,"Communities of people formed on the basis of a combination of shared features such as language, history, ethnicity, culture and/or territory."
Indigenous history,Nations & peoples,Cayuse,,,,,,An Indigenous tribe in what is now the state of Oregon in the United States. 
Indigenous history,Nations & peoples,Cheyenne,,,,,,An Indigenous people of the Great Plains.
Indigenous history,Nations & peoples,Chickasaw,,,,,,"An indigenous people of the Southeastern Woodlands. Their traditional territory was in the Southeastern United States of Mississippi, Alabama, and Tennessee."
Indigenous history,Nations & peoples,Chinook,,,,,,Chinookan peoples include several groups of Indigenous people of the Pacific Northwest in the United States who speak the Chinookan languages.
Indigenous history,Nations & peoples,Choctaw,,,,,,"An Indigenous people originally based in the Southeastern Woodlands, in what is now Alabama and Mississippi."
Indigenous history,Nations & peoples,Creek,,,,,,"Muscogee Creek are a group of related indigenous peoples of the Southeastern Woodlands in the United States of America. Their original homelands are in what now comprises southern Tennessee, much of Alabama, western Georgia and parts of northern Florida."
Indigenous history,Nations & peoples,Dakota,,,,,,"An Indigenous tribe and First Nations band government in North America. They compose two of the three main subcultures of the Sioux people, and are typically divided into the Eastern Dakota and the Western Dakota."
Indigenous history,Nations & peoples,Delaware,,,,,,"An Indigenous people of the Northeastern Woodlands, who live in the United States and Canada. Historical territory included present-day northeastern Delaware, New Jersey and eastern Pennsylvania along the Delaware River watershed, New York City, western Long Island, and the Lower Hudson Valley."
Indigenous history,Nations & peoples,Duwamish,,,,,,"A Lushootseed-speaking Indigenous tribe in western Washington, and the indigenous people of metropolitan Seattle, where they have been living since the end of the last glacial period (c. 8000 BCE, 10,000 years ago)."
Indigenous history,Nations & peoples,Haida,,,,,,"An indigenous group who have traditionally occupied Haida Gwaii, an archipelago just off the coast of British Columbia, Canada, for at least 12,500 years"
Indigenous history,Nations & peoples,Klickitat,,,,,,"An Indigenous tribe of the Pacific Northwest noted for being active and enterprising traders, and served as intermediaries between the coastal tribes and those living east of the Cascade Mountains."
Indigenous history,Nations & peoples,Miccosukee,,,,,,"An Indigenous people, part of the Seminole nation until the mid-20th century, when they organized as an independent tribe"
Indigenous history,Nations & peoples,Minneconjou,,,,,,"An Indigenous people constituting a subdivision of the Lakota people, who formerly inhabited an area in western present-day South Dakota"
Indigenous history,Nations & peoples,Nez Perce,,,,,,"An Indigenous people presumed to have lived on the Columbia River Plateau in the Pacific Northwest region for at least 11,500 years."
Indigenous history,Nations & peoples,Naskapi ,,,,,,A Cree ethnic group and people native to present day northern Quebec and Labrador
Indigenous history,Nations & peoples,Nisqually,,,,,,A Southern Coast Salish people.
Indigenous history,Nations & peoples,Paiute,,,,,,"Refers to three non-contiguous groups of indigenous peoples of the Great Basin. Although their languages are related within the Numic group of Uto-Aztecan languages, these three groups do not form a single set. The term ""Paiute"" does not refer to a single, unique, unified group of Great Basin tribes."
Indigenous history,Nations & peoples,Pawnee,,,,,,A Central Plains Indigenous tribe that historically lived in Nebraska and northern Kansas
Indigenous history,Nations & peoples,Pict,,,,,,A group of peoples who lived in what is now northern and eastern Scotland (north of the Firth of Forth) during Late Antiquity and the Early Middle Ages.
Indigenous history,Nations & peoples,Puyallup,,,,,,"Coast Salish Indigenous tribe from western Washington state, United States."
Indigenous history,Nations & peoples,Salish,,,,,,"An Indigenous Tribe of the Pacific Northwest of the US and SW Canada, identified by their use of the Salish languages which diversified out of Proto-Salish between 3,000 and 6,000 years ago"
Indigenous history,Nations & peoples,Seminole,,,,,,An Indigenous people who developed in Florida in the 18th century.
Indigenous history,Nations & peoples,Sioux,,,,,,Groups of Indigenous tribes and First Nations peoples in North America.
Indigenous history,Nations & peoples,Skewahamish,,,,,,"A Lushootseed-speaking Indigenous people, located in present-day Washington in the United States. Also spelled Suquamish"
Indigenous history,Nations & peoples,Skokomish,,,,,,"One of nine tribes of the Twana, an indigenous people of western Washington state"
Indigenous history,Nations & peoples,Snoqualmie,,,,,,A Coast Salish people of Washington state
Indigenous history,Nations & peoples,Snohomish,,,,,,A tribe of the Lushootseed people native to Puget Sound in Washington State
Indigenous history,Nations & peoples,Steilacoom,,,,,,A Coast Salish people who lived in the Puget Sound area of Washington state in the United States.
Indigenous history,Nations & peoples,Stikine Tlingit,,,,,,"The Stikine people are a ḵwáan or regional group of the Tlingit, indigenous peoples of the Pacific Northwest Coast of North America. Their historical territory included Wrangell Island and other islands of the Alexander Archipelago, as well as the basin of the lower Stikine River."
Indigenous history,Nations & peoples,Squaxin Island,,,,,,"In the extreme southwestern part of Puget Sound in Mason County, Washington, United States, the island is a reservation of the Native American Squaxin Island Tribe"
Indigenous history,Nations & peoples,Walla Walla,,,,,,A Sahaptin indigenous people of the Northwest Plateau.
Indigenous history,Nations & peoples,Yakima,,,,,,Originally occupied the area on both sides of the Columbia River and on the northern branches of the Yakima (formerly Tapteal) and Wenatchee Rivers in the state of Washington.
Slavery,,,,,,,,"The state and condition of being a slave, someone forbidden to quit their service for an enslaver, and who is treated by the enslaver as their property."
Slavery,Self-emancipated persons,,,,,,,The act of an enslaved person freeing him or herself from the bondage of slavery.
Legal history,,,,,,,,The study of how law has evolved and why it has changed.
Legal history,Trial,,,,,,,"A coming together of parties to a dispute, to present information (in the form of evidence) in a tribunal, a formal setting with the authority to adjudicate claims or disputes."
Legal history,Trial,Chief Leschi Trial,,,,,,"Trial of Nisqually War Cheif Leschi for the ""murder"" of two militiamen in 1856"
Legal history,Trial,Chief Leschi Trial,Truth Teller,,,,,A series of print articles written by Lt. Kautz vigorously defending the innocence of Leschi 
Legal history,Trial,Chief Leschi Trial,A Historical Court of Inquiry and Justice,,,,,Organization for retrial of Cheif Leschi in 2004 resulting in his exoneration.
White River Massacre (1855),,,,,,,,"The killing of several settler families by members of the White River Nation, including the Muckleshoot and Klickitat tribes."
Whitman Massacre (1847),,,,,,,,"The killing of the Washington missionaries Marcus Whitman and his wife Narcissa, along with eleven others, on November 29, 1847 by members of the Cayuse tribe who accused Whitman of having poisoned 200 Cayuse in his medical care; launched the Cayuse War."
Women's history,,,,,,,,The study of the role that women have played in history and the methods required to do so.
Women's history,Women workers,,,,,,,Women engaged in labor for the benefit of others outside of the home.
Women's history,Women workers,Washerwomen,,,,,,"Women responsible for the washing, ironing, and mending of clothing"
Women's history,Domestic violence,,,,,,,"Violence or other abuse that occurs in a domestic setting, such as in a marriage or cohabitation. "
Obituary,,,,,,,,A news article that reports the recent death of a prominent person.
Technology,,,,,,,,"The continually developing result of accumulated knowledge and application in all techniques, skills, methods, and processes used in industrial production and scientific research."
